Models,Engine Size,Fuel,Engine Code,Years,
Ford S-Max 2.0,2.0 litre,Diesel,"AZWA, AZWC, KLWA, QXWA, QXWB, QXWC, TXWA, TYWA, UFWA, UKWA",2006 - 2015,
Ford S-Max 2.0,2.0 litre,Petrol,"AOWA, AOWB, TNWA, TNWB, TPWA",2006 - 2015,
Ford S-Max 2.3,2.3 litre,Petrol,"AOWA, AOWB, TNWA, TNWB, TPWA, SEWA",2007 - 2015,
Ford S-Max 2.2,2.2 litre,Diesel,"KNWA, Q4WA",2008 - 2015,
Ford S-Max 1.6,1.6 litre,Petrol,"JTWA, JTWB",2010 - 2015,
Ford S-Max 1.6,1.6 litre,Diesel,"T1WA, T1WB",2011 - 2015,
Ford Transit Tourneo Mark 1,2.0 litre,Petrol/Gas,NSH,1994 - 2000,
Ford Transit Tourneo Mark 1,2.5 litre,Diesel,"4EB, 4EC, 4FA, 4FB, 4FC, 4FD, 4GA, 4GB, 4GC, 4HA, 4HB, 4HC",1991 - 2000,
Ford Tourneo Connect,1.8 litre,Diesel,"BHPA, HCPA, HCPB, P7PA, P7PB, P9PA, P9PB, P9PC, P9PD, R2PA, R3PA, RWPA, RWPC, RWPD, RWPE, RWPF",2002 - 2013,
Ford Tourneo Connect,1.8 litre,Petrol,"EYPA, EYPC, EYPD",2002 - 2013,
Ford Transit Tourneo Mark 2,2.2 litre,Diesel,"PGFA, PGFB, QVFA, QWFA, SRFA, SRFB, SRFC, SRFD, SRFE",2006 - 2014,
Ford Transit Tourneo Custom,2.2 litre,Diesel,"CVFF, CYF4, CYFF, DRF4, DRFF, DRFG",2012 - 2018,
Ford Grand Tourneo Connect,1.6 litre,Diesel,"T1GA, TZGA, TZGB, UBGA",2013 - Current,
Ford Grand Tourneo Connect,1.6 litre,Petrol,"T1GA, TZGA, TZGB, UBGA, JQGA",2013 - Current,
Ford Grand Tourneo Connect,1.0 litre,Petrol,"T1GA, TZGA, TZGB, UBGA, JQGA, M2GA",2013 - Current,
Ford Tourneo Connect Mark 2,1.5 litre,Diesel,"UGCA, UGCB",2014 - Current,
Ford Tourneo Connect Mark 2,1.6 litre,Diesel,"T3CA, T3CB",2014 - Current,
Ford Tourneo Connect Mark 2,1.0 litre,Petrol,"SFCA, SFCB",2014 - Current,
Ford Tourneo Courier Kombi,1.5 litre,Diesel,"XVCA, XVCB, XVCC",2015 - Current,
